filename	price	unit	price_per_100g
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=859722&urlRequestType=Base&categoryId=279813&catalogId=10204&langId=44.html	0.22	100g	0.22
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970450&urlRequestType=Base&categoryId=12524&catalogId=10241&langId=44.html	1.75	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970450&urlRequestType=Base&categoryId=12524&catalogId=10241&langId=44.html	3.5	kg	0.35
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970450&urlRequestType=Base&categoryId=12648&catalogId=10061&langId=44.html	1.75	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970450&urlRequestType=Base&categoryId=12648&catalogId=10061&langId=44.html	3.5	kg	0.35
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970450&urlRequestType=Base&categoryId=185761&catalogId=10197&langId=44.html	1.75	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970450&urlRequestType=Base&categoryId=185761&catalogId=10197&langId=44.html	3.5	kg	0.35
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970474&urlRequestType=Base&categoryId=185761&catalogId=10241&langId=44.html	4.5	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970474&urlRequestType=Base&categoryId=185761&catalogId=10241&langId=44.html	9	kg	0.9
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970474&urlRequestType=Base&categoryId=210894&catalogId=10118&langId=44.html	4.5	unit	NA
/home/nacnudus/R/food/items/groceries|ProductDisplay?storeId=10151&productId=970474&urlRequestType=Base&categoryId=210894&catalogId=10118&langId=44.html	9	kg	0.9
/home/nacnudus/R/food/items/groceries|a-modo-mia-dek-cremoso-capsules-120g.html	4.1	unit	NA
/home/nacnudus/R/food/items/groceries|a-modo-mia-dek-cremoso-capsules-120g.html	3.42	100g	3.42
/home/nacnudus/R/food/items/groceries|a-modo-mia-lungo-dolce-capsules-128g.html	4.1	unit	NA
/home/nacnudus/R/food/items/groceries|a-modo-mia-lungo-dolce-capsules-128g.html	3.2	100g	3.2
/home/nacnudus/R/food/items/groceries|a-modo-mio-delizioso-capsules-120g.html	4.1	unit	NA
/home/nacnudus/R/food/items/groceries|a-modo-mio-delizioso-capsules-120g.html	3.42	100g	3.42
/home/nacnudus/R/food/items/groceries|a-modo-mio-passionale-capsules-120g.html	4.1	unit	NA
/home/nacnudus/R/food/items/groceries|a-modo-mio-passionale-capsules-120g.html	3.42	100g	3.42
/home/nacnudus/R/food/items/groceries|a2-milk-semi-skimmed-1l.html	1.35	unit	NA
/home/nacnudus/R/food/items/groceries|a2-milk-semi-skimmed-1l.html	1.35	ltr	0.135
/home/nacnudus/R/food/items/groceries|a2-semi-skimmed-long-life-british-cows-milk-1l.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|a2-semi-skimmed-long-life-british-cows-milk-1l.html	1.5	ltr	0.15
/home/nacnudus/R/food/items/groceries|abbot-ale-bitter--bottle--500ml.html	1.6500000000000001	unit	NA
/home/nacnudus/R/food/items/groceries|abbot-ale-bitter--bottle--500ml.html	3.3	ltr	0.32999999999999996
/home/nacnudus/R/food/items/groceries|abbot-ale-x4-500ml.html	6.25	unit	NA
/home/nacnudus/R/food/items/groceries|abbot-ale-x4-500ml.html	3.13	ltr	0.313
/home/nacnudus/R/food/items/groceries|aberfeldy-12-year-old-whiskey-70cl.html	35	unit	NA
/home/nacnudus/R/food/items/groceries|aberfeldy-12-year-old-whiskey-70cl.html	50	ltr	5
/home/nacnudus/R/food/items/groceries|aberlour-10-year-old-malt-whisky-70cl.html	30	unit	NA
/home/nacnudus/R/food/items/groceries|aberlour-10-year-old-malt-whisky-70cl.html	42.86	ltr	4.286
/home/nacnudus/R/food/items/groceries|aberlour-12-year-old-malt-whisky-70cl.html	26	unit	NA
/home/nacnudus/R/food/items/groceries|aberlour-12-year-old-malt-whisky-70cl.html	37.14	ltr	3.714
/home/nacnudus/R/food/items/groceries|aberlour-16-year-old-malt-whisky-70cl.html	46	unit	NA
/home/nacnudus/R/food/items/groceries|aberlour-16-year-old-malt-whisky-70cl.html	65.71000000000001	ltr	6.571000000000001
/home/nacnudus/R/food/items/groceries|abra-ca-debora-diddy-pancakes-200g.html	1.49	unit	NA
/home/nacnudus/R/food/items/groceries|abra-ca-debora-diddy-pancakes-200g.html	0.75	100g	0.75
/home/nacnudus/R/food/items/groceries|absolut-50ml-birthday-card.html	4	unit	NA
/home/nacnudus/R/food/items/groceries|absolut-50ml-birthday-card.html	4	ea	NA
/home/nacnudus/R/food/items/groceries|absolut-flavours-selection-gift-set-5x5cl.html	11	unit	NA
/home/nacnudus/R/food/items/groceries|absolut-flavours-selection-gift-set-5x5cl.html	11	ea	NA
/home/nacnudus/R/food/items/groceries|absolut-mango-70cl.html	20	unit	NA
/home/nacnudus/R/food/items/groceries|absolut-mango-70cl.html	28.57	ltr	2.857
/home/nacnudus/R/food/items/groceries|absolut-raspberri-vodka-70cl.html	20	unit	NA
/home/nacnudus/R/food/items/groceries|absolut-raspberri-vodka-70cl.html	28.57	ltr	2.857
/home/nacnudus/R/food/items/groceries|absolut-vanilla-vodka-70cl-40%25.html	20	unit	NA
/home/nacnudus/R/food/items/groceries|absolut-vanilla-vodka-70cl-40%25.html	28.57	ltr	2.857
/home/nacnudus/R/food/items/groceries|absolut-vodka-1l.html	20	unit	NA
/home/nacnudus/R/food/items/groceries|absolut-vodka-1l.html	20	ltr	2
/home/nacnudus/R/food/items/groceries|absolut-vodka-35cl.html	10.5	unit	NA
/home/nacnudus/R/food/items/groceries|absolut-vodka-35cl.html	30	ltr	3
/home/nacnudus/R/food/items/groceries|absolut-vodka-70cl.html	20	unit	NA
/home/nacnudus/R/food/items/groceries|absolut-vodka-70cl.html	28.57	ltr	2.857
/home/nacnudus/R/food/items/groceries|absolutely-gluten-free-original-flatbreads-150g.html	3.2	unit	NA
/home/nacnudus/R/food/items/groceries|absolutely-gluten-free-original-flatbreads-150g.html	2.13	100g	2.13
/home/nacnudus/R/food/items/groceries|achva-vanilla-sesame-halva-454g-%28passover%29.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|achva-vanilla-sesame-halva-454g-%28passover%29.html	0.44	100g	0.44
/home/nacnudus/R/food/items/groceries|acqua-panna-glass-bottle-750ml.html	1.1	unit	NA
/home/nacnudus/R/food/items/groceries|acqua-panna-glass-bottle-750ml.html	0.15000000000000002	100ml	0.15000000000000002
/home/nacnudus/R/food/items/groceries|actimel-blueberry-yogurt-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-blueberry-yogurt-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-coconut-yogurt-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-coconut-yogurt-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-multi-fruit-12x100g.html	3.5	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-multi-fruit-12x100g.html	0.29000000000000004	100g	0.29000000000000004
/home/nacnudus/R/food/items/groceries|actimel-original-01%25-fat-yogurt-12x100g.html	3.5	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-original-01%25-fat-yogurt-12x100g.html	0.29000000000000004	100g	0.29000000000000004
/home/nacnudus/R/food/items/groceries|actimel-original-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-original-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-rapsberry-yogurt-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-rapsberry-yogurt-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-strawberry-01%25-fat-yogurt-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-strawberry-01%25-fat-yogurt-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-strawberry-yogurt-12x100g.html	3.5	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-strawberry-yogurt-12x100g.html	0.29000000000000004	100g	0.29000000000000004
/home/nacnudus/R/food/items/groceries|actimel-vanilla-yogurt-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-vanilla-yogurt-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink--multi-fruits-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink--multi-fruits-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-01%25-fat-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-01%25-fat-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-kids-strawberry---raspberry-6x100g.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-kids-strawberry---raspberry-6x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-kids-strawberry-6x100g.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-kids-strawberry-6x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-ltd-edition-%28flavour-may-vary%29-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-ltd-edition-%28flavour-may-vary%29-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-strawberry---blueberry-12x100g.html	3.5	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-strawberry---blueberry-12x100g.html	0.29000000000000004	100g	0.29000000000000004
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-strawberry-8x100g.html	2	unit	NA
/home/nacnudus/R/food/items/groceries|actimel-yogurt-drink-strawberry-8x100g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-0%25-fat-natural-yogurt-450g.html	1.5	unit	NA
/home/nacnudus/R/food/items/groceries|activia-0%25-fat-natural-yogurt-450g.html	0.32999999999999996	100g	0.32999999999999996
/home/nacnudus/R/food/items/groceries|activia-0%25-fat-strawberry-yogurt-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-0%25-fat-strawberry-yogurt-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-fig-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-fig-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-prunes-fruit-layer-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-prunes-fruit-layer-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-rhubarb-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-rhubarb-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-strawberry-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-strawberry-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-with-cereal-4x120g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-bio-yogurt-with-cereal-4x120g.html	0.26	100g	0.26
/home/nacnudus/R/food/items/groceries|activia-blueberry-yogurt-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-blueberry-yogurt-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-cherry---berry-yogurt-8x125g.html	3	unit	NA
/home/nacnudus/R/food/items/groceries|activia-cherry---berry-yogurt-8x125g.html	0.3	100g	0.3
/home/nacnudus/R/food/items/groceries|activia-fat-free-red-fruit-yogurt-8x125g.html	3	unit	NA
/home/nacnudus/R/food/items/groceries|activia-fat-free-red-fruit-yogurt-8x125g.html	0.3	100g	0.3
/home/nacnudus/R/food/items/groceries|activia-fat-free-vanilla-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-fat-free-vanilla-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-fat-free-yellow-fruits-8x125g.html	3	unit	NA
/home/nacnudus/R/food/items/groceries|activia-fat-free-yellow-fruits-8x125g.html	0.3	100g	0.3
/home/nacnudus/R/food/items/groceries|activia-fat-free-yogurt-cherry-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-fat-free-yogurt-cherry-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-fat-free-yogurt-peach-4x125g.html	1.25	unit	NA
/home/nacnudus/R/food/items/groceries|activia-fat-free-yogurt-peach-4x125g.html	0.25	100g	0.25
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-bluebrry-4x110g.html	2.5	unit	NA
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-bluebrry-4x110g.html	0.5700000000000001	100g	0.5700000000000001
/home/nacnudus/R/food/items/groceries|activia-intensely-creamy-cherry-yogurt-4x110g.html	2.5	unit	NA
